dosageforms,routesofadministration,marketingcategory,applicationnumbers,tradename,genericpropernames,mostrecentspldateyyyymmdd,establishedpharmacologicclasses,initialusapproval,company,marketingdatesyyyymmdd,marketyear,ndcs,activeingredientuniis,activeingredients,activemoietynames,activemoietyuniis,fdalabellink,dailymedlink,setid,excipients,type
SOLUTION,ORAL,ANDA,88875,Promethazine with Codeine,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20181130,Opioid Agonist; Phenothiazine,1952,MORTON GROVE PHARMACEUTICALS INC,1984/12/17-,1984,60432-606,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/eb9ac8c2-ee04-4eed-9b0e-a25d46a7a044/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=eb9ac8c2-ee04-4eed-9b0e-a25d46a7a044,eb9ac8c2-ee04-4eed-9b0e-a25d46a7a044,"anhydrous lactose, colloidal silicon dioxide, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, polysorbate 80, sodium starch glycolate, titanium dioxide",Opioids
SOLUTION,ORAL,ANDA,200386,Promethazine Hydrochloride and Codeine Phosphate,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20180930,Opioid Agonist; Phenothiazine,1952,TRIS PHARMA INC,2018/03/12-,2018,27808-065,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/785c605e-1907-4fac-8b69-d504a2076f8e/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=785c605e-1907-4fac-8b69-d504a2076f8e,785c605e-1907-4fac-8b69-d504a2076f8e,"anhydrous lactose, colloidal silicon dioxide, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, polysorbate 80, sodium starch glycolate, titanium dioxide",Opioids
SOLUTION,ORAL,ANDA,40650,Promethazine with Codeine,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20180620,Opioid Agonist; Phenothiazine,1952,PAR PHARMACEUTICAL,2006/01/31-2021/05/31,2006,0603-1585,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c6617697-a292-40ba-93c4-65b982715b33/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c6617697-a292-40ba-93c4-65b982715b33,c6617697-a292-40ba-93c4-65b982715b33,"crospovidone, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, silicon dioxide,, stearic acid",Opioids
SOLUTION,ORAL,ANDA,90180,promethazine hydrochloride and codeine phosphate,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20180531,Opioid Agonist; Phenothiazine,1952,NOSTRUM LABORATORIES INC,2010/03/17-,2010,70408-185,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/14f50f2c-ee0e-4345-b6c6-80bd50171772/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=14f50f2c-ee0e-4345-b6c6-80bd50171772,14f50f2c-ee0e-4345-b6c6-80bd50171772,"citric acid anhydrous, crospovidone, fd&c yellow #6 ht aluminum lake, lactose monohydrate, magnesium stearate, mannitol, pregelatinized starch (maize), povidone, sodium citrate dihydrate",Opioids
SOLUTION,ORAL,ANDA,40151,Promethazine Hydrochloride and Codeine Phosphate,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20180518,Opioid Agonist; Phenothiazine,1952,HI TECH PHARMACAL CO INC,1997/08/26-,1997,50383-804,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/168951c0-773d-4f3d-9745-cc6de2063b61/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=168951c0-773d-4f3d-9745-cc6de2063b61,168951c0-773d-4f3d-9745-cc6de2063b61,"colloidal silicon dioxide, magnesium stearate, microcrystalline cellulose",Opioids
SOLUTION,ORAL,ANDA,88875,Promethazine with Codeine,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20180222,Opioid Agonist; Phenothiazine,,LOHXA,1984/12/17-,1984,70166-555,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/0a0ce6c1-c683-4bfe-8245-6b755eeb2eac/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0a0ce6c1-c683-4bfe-8245-6b755eeb2eac,0a0ce6c1-c683-4bfe-8245-6b755eeb2eac,"corn starch, colloidal silicon dioxide, croscarmellose sodium, magnesium stearate,, microcrystalline cellulose",Opioids
SOLUTION,ORAL,ANDA,40650,Promethazine with Codeine,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20180101,Opioid Agonist; Phenothiazine,,RPK PHARMACEUTICALS INC,2006/01/31-,2006,53002-3270,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/61670a70-a203-48e0-ad51-5035b235fc11/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=61670a70-a203-48e0-ad51-5035b235fc11,61670a70-a203-48e0-ad51-5035b235fc11,"colloidal silicon dioxide, magnesium stearate, microcrystalline cellulose",Opioids
SOLUTION,ORAL,ANDA,40650,Promethazine with Codeine,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20171107,Opioid Agonist; Phenothiazine,,UNIT DOSE SERVICES,2006/01/31-,2006,50436-1029,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/e41b8b94-be20-4706-9454-e98c46731ab1/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e41b8b94-be20-4706-9454-e98c46731ab1,e41b8b94-be20-4706-9454-e98c46731ab1,"croscarmellose sodium, crospovidone, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch,, stearic acid",Opioids
SOLUTION,ORAL,ANDA,40650,Promethazine with Codeine,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20170822,Opioid Agonist; Phenothiazine,,NUCARE PHARMACEUTICALS INC,2006/01/31-,2006,68071-1606,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/575c6610-2e87-2a2f-e053-2991aa0a9819/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=575c6610-2e87-2a2f-e053-2991aa0a9819,575c6610-2e87-2a2f-e053-2991aa0a9819,"colloidal silicon dioxide, crospovidone, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, stearic acid",Opioids
SOLUTION,ORAL,ANDA,40650,Promethazine with Codeine,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20170809,Opioid Agonist; Phenothiazine,,NUCARE PHARMACEUTICALS INC,2006/01/31-,2006,68071-4037,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/56549401-bbd6-3ae9-e054-00144ff88e88/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=56549401-bbd6-3ae9-e054-00144ff88e88,56549401-bbd6-3ae9-e054-00144ff88e88,"colloidal silicon dioxide, crospovidone, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, stearic acid",Opioids
SYRUP,ORAL,ANDA,40151,Promethazine Hydrochloride and Codeine Phosphate,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20170303,Opioid Agonist; Phenothiazine,,APOTHECA INC,1997/08/26-,1997,12634-909,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/47d4eb4f-6dd4-44b9-aea1-19c4bfc1d425/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=47d4eb4f-6dd4-44b9-aea1-19c4bfc1d425,47d4eb4f-6dd4-44b9-aea1-19c4bfc1d425,"croscarmellose sodium, crospovidone, lactose monohydrate, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, stearic acid",Opioids
SYRUP,ORAL,ANDA,90180,promethazine hydrochloride and codeine phosphate,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20170201,Opioid Agonist; Phenothiazine,,APOTHECA INC,2010/03/17-,2010,12634-907,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/68639fd1-3fd5-4459-8018-51f136e3ed37/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=68639fd1-3fd5-4459-8018-51f136e3ed37,68639fd1-3fd5-4459-8018-51f136e3ed37,"ammoniated glyyerrhizin, dibasic sodium phosphate, citric acid, ethyl maltol, polyethylene glycol, propylene glycol, purified water, saccharin sodium, sodium citrate, sodium benzoate, sodium gluconate, sorbitol solution, with d&c yellow no",Opioids
SYRUP,ORAL,ANDA,40650,Promethazine with Codeine,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20141101,Opioid Agonist; Phenothiazine,,PROFICIENT RX LP,2006/01/31-,2006,63187-271,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/53e98254-eef0-4422-9891-013bd6ecb38a/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=53e98254-eef0-4422-9891-013bd6ecb38a,53e98254-eef0-4422-9891-013bd6ecb38a,"crospovidone, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, silicon dioxide,, stearic acid",Opioids
SYRUP,ORAL,ANDA,40650,Promethazine with Codeine,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20140129,Opioid Agonist; Phenothiazine,,AIDAREX PHARMACEUTICALS LLC,2006/01/31-,2006,33261-391,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/3150fc52-6a33-42f6-b08a-266146661a5f/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3150fc52-6a33-42f6-b08a-266146661a5f,3150fc52-6a33-42f6-b08a-266146661a5f,"croscarmellose sodium, crospovidone, lactose monohydrate, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, stearic acid",Opioids
SYRUP,ORAL,ANDA,89647,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20130321,Opioid Agonist; Phenothiazine,,PHARMACEUTICAL ASSOCIATES INC,1988/12/22-,1988,0121-0547,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a5215931-3385-4d8e-b121-47aa1c20420c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a5215931-3385-4d8e-b121-47aa1c20420c,a5215931-3385-4d8e-b121-47aa1c20420c,"colloidal silicon dioxide, croscarmellose sodium, crospovidone, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, sodium lauryl sulfate,, stearic acid",Opioids
SYRUP,ORAL,ANDA,40650,Promethazine with Codeine,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20130305,Opioid Agonist; Phenothiazine,,ATLANTIC BIOLOGICALS CORPS,2006/01/31-,2006,17856-1585,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4e0d550e-6281-48ce-819f-ca37fcca53e0/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4e0d550e-6281-48ce-819f-ca37fcca53e0,4e0d550e-6281-48ce-819f-ca37fcca53e0,"colloidal silicon dioxide, corn starch, croscarmellose sodium, fd&c red #3, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, stearic acid,, sucrose",Opioids
SYRUP,ORAL,ANDA,40151,Promethazine Hydrochloride and Codeine Phosphate,PROMETHAZINE HYDROCHLORIDE AND CODEINE PHOSPHATE,20120413,Opioid Agonist; Phenothiazine,,ATLANTIC BIOLOGICALS CORPS,1997/08/26-,1997,17856-0804,GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PROMETHAZINE,FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/5eafbdbe-58f1-4f2c-a12f-7a5d924e5fff/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5eafbdbe-58f1-4f2c-a12f-7a5d924e5fff,5eafbdbe-58f1-4f2c-a12f-7a5d924e5fff,"corn starch, colloidal silicon dioxide, croscarmellose sodium, magnesium stearate,, microcrystalline cellulose",Opioids
SOLUTION,ORAL,ANDA,40674,"promethazine hydrochloride, phenylephrine hydrochloride and codeine phosphate","PROMETHAZINE HYDROCHLORIDE, PHENYLEPHRINE HYDROCHLORIDE AND CODEINE PHOSPHATE",20180706,Opioid Agonist; Phenothiazine; alpha-1 Adrenergic Agonist,1952,HI TECH PHARMACAL CO INC,2015/06/16-,2015,50383-805,04JA59TNSJ; GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PHENYLEPHRINE; PROMETHAZINE,1WS297W6MV; FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/3f40cef0-431c-4728-9a91-10720b16de55/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3f40cef0-431c-4728-9a91-10720b16de55,3f40cef0-431c-4728-9a91-10720b16de55,"citric acid anhydrous, ethyl maltol, glycerin, methylparaben, propylene glycol, propylparaben, purified water, saccharin sodium, sorbitol solution, sucrose, with d&c yellow #10, fd&c yellow #6 as coloring natural and artificial flavoring",Opioids
SYRUP,ORAL,ANDA,200963,"Promethazine HCl, Phenylephrine HCl, Codeine Phosphate","PROMETHAZINE, PHENYLEPHRINE, CODEINE",20171127,Opioid Agonist; Phenothiazine; alpha-1 Adrenergic Agonist,,AMNEAL PHARMACEUTICALS LLC,2013/11/01-,2013,65162-694,04JA59TNSJ; GSL05Y1MN6; R61ZEH7I1I,CODEINE PHOSPHATE; PHENYLEPHRINE HYDROCHLORIDE; PROMETHAZINE HYDROCHLORIDE,CODEINE ANHYDROUS; PHENYLEPHRINE; PROMETHAZINE,1WS297W6MV; FF28EJQ494; UX6OWY2V7J,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/5f23b254-872b-4e88-91be-710c3ea7687b/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5f23b254-872b-4e88-91be-710c3ea7687b,5f23b254-872b-4e88-91be-710c3ea7687b,"colloidal silicon dioxide, croscarmellose sodium, crospovidone, microcrystalline cellulose, povidone, pregelatinized starch, stearic acid, sugar spheres which are composed of starch derived from corn, sucrose, fd c blue #1 and d and c yellow #10",Opioids
CAPSULE,ORAL,ANDA,80530,PROPOXYPHENE HYDROCHLORIDE,PROPOXYPHENE HYDROCHLORIDE,20101001,Opioid Agonist,,HERITAGE PHARMACEUTICALS INC,2009/05/01-,2009,23155-012,CB2TL9PS0T,PROPOXYPHENE HYDROCHLORIDE,PROPOXYPHENE,S2F83W92TK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a70e9bff-5f9e-43e8-a9ef-6da73bab7d31/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a70e9bff-5f9e-43e8-a9ef-6da73bab7d31,a70e9bff-5f9e-43e8-a9ef-6da73bab7d31,"magnesium stearate, microcrystalline cellulose, povidone, pregelatinized corn starch, sodium metabisulfite, sodium starch glycolate, stearic acid",Opioids
CAPSULE,ORAL,ANDA,40569,Propoxyphene,PROPOXYPHENE HYDROCHLORIDE,20091027,Opioid Agonist,,STAT RX USA,2009/10/27-,2009,16590-198,CB2TL9PS0T,PROPOXYPHENE HYDROCHLORIDE,PROPOXYPHENE,S2F83W92TK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/f60e8f65-a12b-4073-ac0f-81e1186617d7/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f60e8f65-a12b-4073-ac0f-81e1186617d7,f60e8f65-a12b-4073-ac0f-81e1186617d7,"crospovidone, magnesium stearate, microcrystalline cellulose, povidone, pregelatinized starch, silicon dioxide,, stearic acid",Opioids
"TABLET, FILM COATED",ORAL,NDA,16862,Darvon-N,PROPOXYPHENE NAPSYLATE,20091027,Opioid Agonist,,STAT RX USA,2009/09/25-,2009,16590-874,38M219L1OJ,propoxyphene napsylate,propoxyphene,S2F83W92TK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c6c48eee-240b-4425-8691-35462523652e/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c6c48eee-240b-4425-8691-35462523652e,c6c48eee-240b-4425-8691-35462523652e,"anhydrous lactose, colloidal silicon dioxide, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, polysorbate 80, sodium starch glycolate, titanium dioxide",Opioids
TABLET,ORAL,ANDA,75738,PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN,PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN,20110620,Opioid Agonist,,REDPHARM DRUG INC,2009/06/08-,2009,67296-0104,362O9ITL9D; 38M219L1OJ,ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE,ACETAMINOPHEN; PROPOXYPHENE,362O9ITL9D; S2F83W92TK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/09e1e32d-1874-40d7-8829-52b3a489d9fd/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=09e1e32d-1874-40d7-8829-52b3a489d9fd,09e1e32d-1874-40d7-8829-52b3a489d9fd,"citric acid anhydrous, disodium edetate, fd&c green no",Opioids
TABLET,ORAL,ANDA,75738,PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN,PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN,20110620,Opioid Agonist,,REDPHARM DRUG INC,2009/06/08-,2009,67296-0105,362O9ITL9D; 38M219L1OJ,ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE,ACETAMINOPHEN; PROPOXYPHENE,362O9ITL9D; S2F83W92TK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/aaccfdf4-ce07-4799-9a7c-14dc0588a2a3/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=aaccfdf4-ce07-4799-9a7c-14dc0588a2a3,aaccfdf4-ce07-4799-9a7c-14dc0588a2a3,,Opioids
"TABLET, FILM COATED",ORAL,ANDA,74119,Propoxyphene Napsylate and Acetaminophen,PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN,20110525,Opioid Agonist,,REDPHARM DRUG INC,2009/11/25-,2009,67296-0378,362O9ITL9D; 38M219L1OJ,ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE,ACETAMINOPHEN; PROPOXYPHENE,362O9ITL9D; S2F83W92TK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/3b3adfad-5f99-4add-bcdc-069d0a0da418/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3b3adfad-5f99-4add-bcdc-069d0a0da418,3b3adfad-5f99-4add-bcdc-069d0a0da418,"dibasic calcium phosphate, microcrystalline cellulose, magnesium stearate, colloidal silicon dioxide, pregelatinized starch, stearic acid",Opioids
"TABLET, FILM COATED",ORAL,ANDA,74843,Propoxyphene and Acetaminophen,PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN,20100803,Opioid Agonist,,KELTMAN PHARMACEUTICALS INC,2009/03/01-,2009,68387-100,362O9ITL9D; 38M219L1OJ,ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE,ACETAMINOPHEN; PROPOXYPHENE,362O9ITL9D; S2F83W92TK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/6ce33ae0-8f55-4d74-9c1e-003be1001596/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6ce33ae0-8f55-4d74-9c1e-003be1001596,6ce33ae0-8f55-4d74-9c1e-003be1001596,,Opioids
"TABLET, FILM COATED",ORAL,ANDA,74843,Propoxyphene and Acetaminophen,PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN,20100428,Opioid Agonist,,ALTURA PHARMACEUTICALS INC,2010/01/01-,2010,63874-201,362O9ITL9D; 38M219L1OJ,ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE,ACETAMINOPHEN; PROPOXYPHENE,362O9ITL9D; S2F83W92TK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/2eb7266d-1d31-4cdc-96f5-987bb8373cc9/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2eb7266d-1d31-4cdc-96f5-987bb8373cc9,2eb7266d-1d31-4cdc-96f5-987bb8373cc9,,Opioids
"TABLET, FILM COATED",ORAL,ANDA,74119,PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN,PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN,20100311,Opioid Agonist,,APOTHECA INC,2009/01/01-,2009,12634-537,362O9ITL9D; 38M219L1OJ,ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE,ACETAMINOPHEN; PROPOXYPHENE,362O9ITL9D; S2F83W92TK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/f2bc3c76-fd41-4a79-aa5d-3eb45133c1ee/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f2bc3c76-fd41-4a79-aa5d-3eb45133c1ee,f2bc3c76-fd41-4a79-aa5d-3eb45133c1ee,,Opioids
"TABLET, FILM COATED",ORAL,ANDA,74119,Propoxyphene Napsylate and Acetaminophen,PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN,20091201,Opioid Agonist,,REBEL DISTRIBUTORS CORP,2009/12/01-,2009,21695-280,362O9ITL9D; 38M219L1OJ,ACETAMINOPHEN; PROPOXYPHENE NAPSYLATE,ACETAMINOPHEN; PROPOXYPHENE,362O9ITL9D; S2F83W92TK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/48237a1b-a9e3-4123-a041-a49eeca8d84c/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=48237a1b-a9e3-4123-a041-a49eeca8d84c,48237a1b-a9e3-4123-a041-a49eeca8d84c,"lactose monohydrate, magnesium stearate, microcrystalline cellulose, silicon dioxide",Opioids
"TABLET, FILM COATED",ORAL,,,PROPOXYPHENE NAPSYLATE AND ACETOMINOPHEN,PROPOXYPHENE NAPSYLATE AND ACETOMINOPHEN,20081118,Opioid Agonist,,ANDRX PHARMACEUTICALS INC,,,62037-930; 62037-931,362O9ITL9D; 38M219L1OJ,Acetaminophen; Propoxyphene Napsylate,acetaminophen; propoxyphene,362O9ITL9D; S2F83W92TK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/7b3e3fee-b02a-4898-a45e-e4abc1e8d9f4/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7b3e3fee-b02a-4898-a45e-e4abc1e8d9f4,7b3e3fee-b02a-4898-a45e-e4abc1e8d9f4,"colloidal silicon dioxide, microcrystalline cellulose, pregelatinized corn starch, stearic acid, d&c yellow no",Opioids
"TABLET, FILM COATED",ORAL,,,PROPOXYPHENE NAPSYLATE AND ACETOMINOPHEN,PROPOXYPHENE NAPSYLATE AND ACETOMINOPHEN,20080801,Opioid Agonist,,ANDRX PHARMACEUTICALS INC,,,62037-882,362O9ITL9D; 38M219L1OJ,Acetaminophen; Propoxyphene Napsylate,acetaminophen; propoxyphene,362O9ITL9D; S2F83W92TK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/4cf33260-5a78-4207-b113-a9d6771811a3/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4cf33260-5a78-4207-b113-a9d6771811a3,4cf33260-5a78-4207-b113-a9d6771811a3,"croscarmellose sodium, magnesium stearate, mannitol,, silicified microcrystalline cellulose",Opioids
"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA,20630,Ultiva,REMIFENTANIL HYDROCHLORIDE,20190320,Opioid Agonist,1996,MYLAN INSTITUTIONAL LLC,1996/11/06-,1996,67457-198,5V444H5WIC,Remifentanil Hydrochloride,Remifentanil,P10582JYYK,http://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/dbc63b6e-f8c5-4fd0-8ec3-4f5e19125313/spl-doc,http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=dbc63b6e-f8c5-4fd0-8ec3-4f5e19125313,dbc63b6e-f8c5-4fd0-8ec3-4f5e19125313,"corn starch, lactose monohydrate, microcrystalline cellulose, sodium starch glycolate, stearic acid",Opioids
